Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
gnutls-native, 1145156, 50.25, 49, 8, 7555, 942, 1199703862, 47819463, 334997, 43501, 12775424, 35364864, 5804032, 0.49565099999999995, 0.089575, 73100, 8000, 0, 0, 7104, 1425, 41, 75.556633, 9.421574, 72588, 6081654, 287, 24952, 61968, 63199, 57238
python3-mako-native, 950868, 4.12, 17, 1, 138, 11, 14284310, 6173873, 2546, 1212, 360448, 6819840, 405504, 0.17539, 0.018657999999999998, 70992, 8523, 0, 0, 72, 184, 33, 1.389419, 0.115572, 68256, 18271, 0, 704, 13248, 50, 1612
libidn2-native, 986770, 2.12, 15, 1, 419, 80, 62012893, 4861393, 33676, 5518, 2043904, 3067904, 311296, 0.15040699999999999, 0.015425999999999999, 69912, 8485, 0, 8, 784, 181, 31, 4.194282, 0.809066, 67216, 654335, 34, 3984, 5208, 7374, 3146
xmlto-native, 1038274, 0.94, 15, 1, 62, 6, 8568275, 264392, 2727, 335, 28672, 151552, 16384, 0.152561, 0.011163, 70812, 8686, 0, 0, 80, 14, 30, 0.627208, 0.067983, 68108, 44324, 0, 56, 216, 255, 712
libxxf86vm-native, 1214679, 2.38, 20, 0, 42, 5, 3761801, 287840, 2710, 611, 151552, 249856, 4096, 0.203485, 0.007535999999999999, 70956, 8747, 0, 0, 144, 77, 110, 0.428795, 0.051337999999999995, 68256, 39039, 2, 296, 344, 471, 333
pango-native, 1305952, 5.51, 24, 3, 2143, 278, 483858815, 12032192, 79023, 7282, 2863104, 8257536, 3174400, 0.247657, 0.038429, 72620, 9360, 0, 0, 2056, 154, 97, 21.434458, 2.783274, 76944, 1044139, 21, 5592, 14072, 2709, 12986
python3-setuptools-native, 947101, 3.07, 21, 3, 174, 19, 21799425, 12445842, 5267, 4512, 3821568, 13651968, 3391488, 0.211638, 0.037128999999999995, 71084, 8742, 0, 0, 288, 723, 60, 1.746292, 0.194969, 68296, 18290, 0, 7464, 26376, 343, 1327
rust-llvm-native, 950370, 631.60, 98, 9, 847918, 40008, 53962752875, 3221788245, 8263198, 3673968, 200622080, 2606370816, 75161600, 0.9892249999999999, 0.09690299999999999, 79852, 10497, 3, 48, 17568, 2842, 133, 8479.18577, 400.08712, 1889296, 215793609, 570, 391792, 5073000, 188890, 2829735
libxrender-native, 1172983, 2.15, 16, 2, 160, 22, 18809227, 568042, 6970, 1213, 155648, 376832, 53248, 0.163624, 0.029368, 71916, 6823, 0, 0, 224, 79, 263, 1.604381, 0.224513, 69216, 155319, 6, 304, 512, 1664, 1239
re2c-native, 187997, 6.64, 17, 1, 9443, 655, 689476019, 18850584, 92458, 10493, 491520, 7815168, 0, 0.17425, 0.013403, 64768, 8517, 0, 0, 680, 230, 126, 94.432217, 6.551951, 160116, 3528110, 27, 960, 14584, 5691, 63816
gtk-doc-native, 234920, 0.87, 17, 1, 112, 22, 23951763, 3595963, 13467, 3263, 0, 3596288, 1622016, 0.172727, 0.017272, 64592, 8373, 0, 0, 104, 87, 4, 1.123612, 0.223131, 61896, 149084, 6, 0, 6920, 1616, 293
libxdamage-native, 1210865, 1.50, 17, 2, 24, 6, 3400154, 147335, 1690, 447, 20480, 94208, 4096, 0.179234, 0.028513999999999998, 70956, 8724, 0, 0, 96, 56, 62, 0.24837099999999998, 0.063624, 68256, 28493, 2, 40, 88, 324, 258
python3-docutils-native, 950899, 3.33, 19, 4, 107, 9, 10797851, 10297279, 3962, 4108, 2428928, 11255808, 2449408, 0.191917, 0.042648, 71044, 9101, 0, 0, 280, 676, 83, 1.075235, 0.091267, 68264, 8840, 0, 4744, 21704, 245, 998
alsa-lib-native, 820975, 10.76, 13, 1, 2142, 225, 209222672, 14238308, 74432, 11979, 0, 9650176, 495616, 0.132325, 0.013687999999999999, 70792, 7009, 0, 0, 600, 335, 34, 21.426722, 2.252847, 68040, 1537617, 116, 0, 18248, 15145, 13152
ncurses-native, 315087, 11.06, 22, 3, 3762, 601, 750429652, 18191786, 185744, 14652, 8192, 9973760, 1581056, 0.22461699999999998, 0.038141999999999995, 66160, 8913, 0, 0, 1384, 701, 63, 37.628197, 6.01278, 66344, 2700511, 169, 16, 18096, 8251, 19017
util-linux-native, 498805, 6.99, 24, 3, 5708, 788, 715172989, 34032593, 318612, 41601, 466944, 21905408, 872448, 0.240343, 0.031743, 68436, 9279, 0, 0, 5032, 791, 69, 57.083721, 7.883231, 64768, 5445724, 339, 912, 37752, 53915, 40077
glib-2.0-native, 1001092, 21.50, 64, 5, 15859, 1773, 2707410605, 102743442, 547748, 61240, 43687936, 68259840, 10825728, 0.6413789999999999, 0.057829, 74868, 10641, 0, 0, 7600, 1357, 547, 158.593736, 17.73802, 133372, 7687491, 280, 85328, 125720, 25223, 75937
cross-localedef-native, 1099813, 3.77, 9, 2, 599, 46, 33345989, 2659768, 12866, 1674, 0, 1302528, 0, 0.094635, 0.023658, 69680, 6297, 0, 0, 360, 100, 39, 5.997481, 0.461501, 66976, 208522, 11, 0, 2184, 733, 1714
gettext-minimal-native, 44870, 0.03, 5, 0, 0, 0, 291363, 22827, 49, 83, 0, 20480, 0, 0.051585, 0.003968, 61884, 7835, 0, 0, 40, 2, 3, 0.001401, 0.0, 59192, 376, 0, 0, 0, 1, 1
libxml2-native, 953601, 24.50, 20, 2, 3083, 131, 102034300, 15834194, 32171, 6774, 7372800, 8781824, 180224, 0.203584, 0.027760999999999997, 70120, 8836, 0, 0, 472, 217, 37, 30.835102, 1.319621, 121604, 797797, 16, 14400, 16680, 8391, 13224
nasm-native, 568387, 2.25, 16, 3, 1023, 91, 175638284, 25450167, 41032, 13959, 360448, 18481152, 4096, 0.16693, 0.031796, 67576, 8461, 0, 0, 376, 116, 59, 10.236743, 0.916047, 102364, 447091, 6, 704, 35720, 2417, 4843
attr-native, 76239, 0.31, 8, 1, 124, 25, 17402190, 609724, 12056, 1741, 77824, 483328, 49152, 0.08552, 0.015548999999999999, 63608, 8576, 0, 0, 184, 38, 6, 1.248842, 0.25002199999999997, 60916, 236911, 13, 152, 760, 2596, 394
patch-native, 199626, 1.19, 10, 0, 434, 54, 61358687, 3462950, 18228, 2413, 0, 2318336, 4096, 0.10772, 0.008617, 64868, 8552, 0, 0, 352, 105, 19, 4.347754, 0.548971, 62152, 332590, 51, 0, 4176, 1230, 1596
mpfr-native, 210718, 2.55, 19, 1, 2438, 354, 306300924, 9113802, 113778, 16817, 475136, 6475776, 1052672, 0.194293, 0.018073, 64796, 8952, 0, 0, 3232, 497, 28, 24.383021, 3.548367, 62088, 2731122, 95, 928, 9416, 27925, 25333
python3-iniparse-native, 955920, 2.89, 20, 1, 100, 8, 5047830, 5430505, 1020, 690, 94208, 5976064, 159744, 0.206819, 0.017234, 70028, 11835, 0, 0, 64, 81, 58, 1.003142, 0.086383, 67304, 9258, 0, 184, 11608, 20, 1223
libslirp-native, 1019138, 1.94, 18, 1, 429, 49, 82961595, 1894530, 15753, 1662, 8192, 1433600, 745472, 0.18529099999999998, 0.019711, 71432, 8897, 0, 0, 160, 51, 48, 4.29434, 0.49306799999999995, 68724, 216180, 3, 16, 2640, 553, 2544
libmicrohttpd-native, 1255333, 8.84, 22, 0, 1104, 153, 132524858, 3562094, 77957, 9121, 1671168, 2314240, 90112, 0.22885, 0.005448, 70892, 8611, 0, 0, 640, 210, 56, 11.041704, 1.5313379999999999, 68184, 1353253, 63, 3264, 3880, 17162, 12224
dwarfsrcfiles-native, 1297054, 0.23, 16, 2, 5, 1, 2073689, 46710, 527, 134, 8192, 49152, 0, 0.164732, 0.024107, 70712, 8231, 0, 0, 40, 3, 58, 0.059072, 0.012709999999999999, 68012, 6137, 0, 16, 56, 19, 9
libmodulemd-native, 1055466, 5.91, 18, 1, 1469, 126, 196795130, 10463127, 37980, 5098, 2043904, 6328320, 1454080, 0.187611, 0.012506999999999999, 71408, 9016, 0, 0, 528, 92, 81, 14.695553, 1.268849, 68704, 590214, 10, 3992, 11832, 2164, 7691
xorgproto-native, 959778, 0.72, 16, 1, 27, 4, 9794471, 38409, 986, 136, 0, 20480, 0, 0.163931, 0.014570999999999999, 70352, 8582, 0, 0, 40, 21, 69, 0.27409, 0.041254, 67648, 7646, 0, 0, 0, 10, 49
