Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
groff-native, 42453, 0.07, 10, 0, 1, 0, 767697, 159142, 498, 301, 0, 118784, 0, 0.10539799999999999, 0.008107, 62756, 18626, 0, 0, 192, 33, 3, 0.01375, 0.0016259999999999998, 59928, 4683, 0, 0, 40, 134, 1
expat-native, 19705, 0.06, 9, 2, 1, 0, 728651, 152589, 494, 299, 0, 114688, 0, 0.093613, 0.027302999999999997, 60696, 18403, 0, 0, 184, 32, 1, 0.015195, 0.001549, 57892, 4628, 0, 0, 40, 145, 6
ninja-native, 25677, 0.07, 8, 1, 1, 0, 715345, 149580, 482, 294, 0, 114688, 0, 0.084895, 0.018455, 61212, 18317, 0, 0, 184, 33, 4, 0.014914, 0.000396, 58412, 4618, 0, 0, 40, 140, 4
libxml-sax-perl-native, 681970, 0.34, 14, 1, 1, 1, 1077228, 160135, 534, 296, 0, 118784, 0, 0.140876, 0.016573, 68960, 18934, 0, 0, 192, 33, 18, 0.012067999999999999, 0.015, 66160, 4702, 0, 0, 40, 160, 17
libxshmfence-native, 705653, 0.73, 20, 2, 2, 0, 773374, 164395, 532, 329, 0, 118784, 0, 0.208702, 0.025044, 70480, 19143, 0, 0, 192, 59, 89, 0.026549, 0.009042, 67744, 4687, 0, 0, 40, 103, 85
libpcre2-native, 27606, 0.07, 10, 1, 1, 0, 744863, 157820, 480, 298, 0, 118784, 0, 0.105637, 0.016250999999999998, 61872, 18619, 0, 0, 192, 28, 7, 0.011726, 0.004501, 59072, 4691, 0, 0, 40, 160, 5
openssl-native, 20409, 0.06, 10, 1, 1, 0, 761810, 156697, 503, 300, 0, 114688, 0, 0.104474, 0.015477, 61004, 18682, 0, 0, 184, 33, 6, 0.014497999999999999, 0.001785, 58196, 4654, 0, 0, 40, 152, 9
libgpg-error-native, 27396, 0.06, 10, 1, 1, 0, 771888, 162068, 500, 301, 0, 118784, 0, 0.103906, 0.011545, 62012, 18673, 0, 0, 192, 29, 6, 0.015292, 0.000663, 59180, 4697, 0, 0, 40, 125, 5
e2fsprogs-native, 39701, 0.06, 10, 2, 1, 0, 781482, 162154, 508, 304, 0, 118784, 0, 0.10799399999999999, 0.023998, 62808, 18803, 0, 0, 192, 34, 7, 0.015593, 0.000538, 59984, 4683, 0, 0, 40, 136, 4
xtrans-native, 332058, 0.50, 20, 3, 3, 0, 759382, 158414, 475, 297, 0, 118784, 0, 0.207786, 0.035283999999999996, 66192, 18737, 0, 0, 192, 32, 61, 0.030886999999999998, 0.001911, 63368, 4688, 1, 0, 40, 117, 26
libedit-native, 23580, 0.07, 10, 1, 1, 0, 752799, 159187, 496, 300, 0, 118784, 0, 0.105527, 0.011725, 61308, 18590, 0, 0, 192, 34, 4, 0.014525, 0.0015639999999999999, 58436, 4716, 0, 0, 40, 153, 3
libepoxy-native, 793804, 0.43, 20, 1, 2, 1, 774786, 166670, 490, 336, 0, 118784, 0, 0.20094299999999998, 0.016403, 70576, 17111, 0, 0, 192, 40, 124, 0.023812999999999997, 0.011939, 67776, 4703, 0, 0, 40, 85, 64
