Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
vala, 2861870, 1.15, 20, 3, 4, 1, 980209, 347099, 959, 328, 4096, 270336, 0, 0.205064, 0.031702, 74044, 23626, 0, 8, 240, 90, 81, 0.049094, 0.011693, 71220, 6962, 0, 0, 288, 133, 110
gstreamer1.0-plugins-base, 3814659, 1.02, 20, 5, 7, 4, 2422632, 1576917, 2586, 691, 8192, 1466368, 0, 0.20925, 0.052312, 60820, 21889, 2, 16, 528, 44, 95, 0.07127499999999999, 0.049295, 57932, 7586, 1, 0, 2336, 214, 69
quota, 2984887, 1.34, 18, 2, 5, 0, 868604, 309914, 925, 325, 0, 237568, 0, 0.18870499999999998, 0.022643999999999997, 62432, 24184, 0, 0, 240, 66, 128, 0.053419999999999995, 0.008183, 59640, 6942, 0, 0, 224, 142, 65
l3afpad, 3859302, 0.86, 16, 1, 3, 3, 1274690, 698270, 1395, 439, 0, 589824, 0, 0.16894099999999998, 0.019644, 61568, 23189, 0, 0, 368, 41, 119, 0.033213, 0.036017, 58720, 7120, 0, 0, 784, 116, 87
libx11, 2092900, 1.29, 19, 4, 4, 1, 1163525, 484448, 985, 339, 4096, 335872, 0, 0.196036, 0.047048, 72708, 23463, 0, 0, 232, 73, 131, 0.049403999999999997, 0.015674, 69884, 7039, 0, 8, 424, 170, 107
perl, 3013466, 2.49, 23, 6, 12, 17, 9181896, 6543058, 11117, 2310, 12288, 7684096, 0, 0.234758, 0.06501, 61716, 24235, 0, 16, 1608, 55, 167, 0.121652, 0.173927, 58840, 10458, 1, 8, 13400, 282, 491
xinit, 2614617, 1.53, 18, 6, 4, 1, 764425, 231383, 843, 311, 4096, 200704, 0, 0.187996, 0.066581, 73888, 23840, 0, 0, 232, 53, 157, 0.049981, 0.012782, 71088, 6896, 0, 8, 160, 121, 83
procps, 2545418, 0.78, 19, 6, 6, 0, 1041442, 460158, 1096, 367, 0, 368640, 0, 0.19813999999999998, 0.063554, 73536, 23406, 0, 0, 272, 59, 174, 0.069314, 0.005645, 70800, 6999, 2, 0, 448, 194, 99
icu, 1994229, 0.78, 23, 3, 5, 1, 1256146, 556099, 1044, 358, 0, 401408, 0, 0.23887499999999998, 0.038528, 72016, 24232, 0, 0, 240, 68, 78, 0.056552, 0.016855, 69280, 6983, 0, 0, 544, 167, 97
liberror-perl, 3022969, 1.26, 14, 5, 4, 0, 2174395, 248700, 1106, 314, 0, 208896, 0, 0.149037, 0.05089, 61500, 24117, 0, 0, 232, 60, 63, 0.048429, 0.007078999999999999, 58652, 6925, 0, 0, 176, 124, 71
libsoup-2.4, 3206707, 1.41, 23, 3, 5, 3, 1640444, 1066879, 1882, 545, 94208, 892928, 0, 0.23932599999999998, 0.03474, 59396, 23806, 9, 184, 464, 88, 115, 0.055975, 0.034251, 56548, 7267, 0, 0, 1280, 154, 274
matchbox-session, 1472811, 1.79, 20, 3, 5, 1, 717978, 221061, 846, 305, 0, 192512, 0, 0.20596499999999998, 0.037829999999999996, 71000, 23493, 0, 0, 224, 81, 62, 0.051132, 0.011569999999999999, 68184, 6884, 0, 0, 152, 154, 73
xdpyinfo, 2683611, 2.82, 20, 1, 4, 1, 770554, 233121, 899, 311, 0, 200704, 0, 0.20743299999999998, 0.016269, 74044, 23812, 0, 0, 232, 80, 125, 0.041171, 0.019049, 71244, 6908, 1, 0, 160, 154, 135
libxcvt, 1459894, 0.88, 16, 3, 3, 2, 731665, 231828, 879, 315, 0, 200704, 0, 0.161355, 0.036303999999999996, 71568, 21311, 0, 0, 216, 62, 137, 0.039230999999999995, 0.020999, 68768, 6933, 1, 0, 176, 131, 90
libmnl, 2305803, 0.89, 21, 5, 4, 1, 787671, 261994, 896, 314, 0, 204800, 0, 0.21455, 0.051491999999999996, 72284, 23770, 0, 0, 224, 71, 60, 0.049439, 0.012976, 69484, 6898, 0, 0, 176, 101, 89
xf86-video-cirrus, 3624661, 1.04, 17, 5, 5, 1, 803815, 248746, 895, 314, 4096, 200704, 0, 0.176776, 0.050506999999999996, 60940, 21310, 1, 8, 224, 72, 71, 0.051023, 0.013595999999999999, 58020, 6944, 0, 0, 168, 144, 90
