Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
zlib, 1441438, 4.13, 8, 1, 26, 9, 5687700, 305919, 3121, 672, 184320, 360448, 143360, 0.082606, 0.016521, 69600, 10597, 0, 24, 120, 22, 9, 0.265359, 0.09558, 66672, 41771, 1, 336, 584, 369, 345
dropbear, 2537818, 51.71, 31, 6, 575, 164, 119686341, 5953688, 56301, 14063, 1257472, 6868992, 3997696, 0.312395, 0.061598999999999994, 73280, 20098, 0, 696, 336, 304, 115, 5.759353, 1.6460409999999999, 70388, 730028, 29, 1760, 13080, 6423, 7045
libxshmfence, 2091594, 39.53, 27, 4, 580, 117, 138665853, 18095968, 62810, 19550, 208896, 17698816, 10502144, 0.273409, 0.0448, 72440, 18424, 0, 288, 376, 322, 100, 5.801649, 1.178478, 69544, 670285, 23, 120, 34192, 8845, 8286
shadow, 1597115, 79.56, 32, 4, 909, 184, 210485676, 29904884, 96293, 19018, 1875968, 26742784, 14225408, 0.325557, 0.045960999999999995, 71256, 17312, 0, 1432, 376, 419, 379, 9.097968, 1.843083, 68360, 868305, 31, 2232, 51856, 10880, 6290
make, 2039422, 40.00, 33, 3, 701, 157, 129024808, 14044473, 63392, 18380, 1888256, 14602240, 7577600, 0.33782999999999996, 0.037078, 71464, 19742, 0, 648, 344, 362, 86, 7.013892, 1.5730529999999998, 68592, 840341, 30, 3040, 28176, 7893, 8471
libusb1, 2660129, 46.44, 34, 2, 628, 97, 173071836, 24197380, 74453, 23297, 806912, 22753280, 14753792, 0.34474899999999997, 0.029429, 73092, 20896, 0, 416, 352, 325, 122, 6.281387, 0.976988, 70172, 691694, 23, 1160, 44088, 9118, 6533
json-c, 1443793, 28.73, 16, 1, 294, 99, 99958910, 8961146, 48993, 9999, 212992, 9355264, 7524352, 0.168818, 0.015005999999999999, 69952, 8912, 0, 24, 152, 160, 90, 2.943407, 0.9978859999999999, 67028, 399020, 12, 392, 18120, 3904, 4081
matchbox-terminal, 3879340, 11.16, 35, 4, 177, 27, 23065993, 3367185, 18003, 6900, 294912, 3035136, 1044480, 0.356582, 0.043484999999999996, 61392, 17493, 0, 408, 296, 167, 65, 1.777823, 0.270395, 58672, 165192, 0, 168, 5632, 1727, 1725
libidn2, 2226303, 69.39, 39, 6, 1582, 275, 284844407, 52257798, 151254, 45261, 1818624, 48099328, 25714688, 0.398205, 0.062874, 72128, 17736, 0, 200, 440, 564, 97, 15.822723, 2.757286, 69224, 1615869, 64, 3352, 93504, 21842, 18344
grep, 2309266, 122.90, 38, 2, 2024, 353, 304258037, 55794661, 146570, 47882, 2531328, 51376128, 26382336, 0.382225, 0.029401, 71944, 16597, 0, 448, 416, 659, 137, 20.244205, 3.535262, 69200, 1806061, 70, 4496, 99928, 23288, 25939
