Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
file, 314868, 0.09, 6, 2, 4, 0, 1326769, 647468, 819, 261, 0, 684032, 4096, 0.063162, 0.022292, 63788, 10009, 0, 0, 136, 15, 9, 0.047736, 0.007818, 57836, 9421, 0, 0, 1200, 147, 13
libmicrohttpd, 315890, 0.08, 9, 0, 1, 0, 1377030, 634914, 376, 208, 0, 651264, 4096, 0.09770799999999999, 0.008142, 63788, 8859, 0, 0, 128, 6, 52, 0.010816, 0.002414, 58092, 978, 0, 0, 1144, 11, 5
rpcbind, 679960, 0.11, 10, 1, 6, 1, 1757937, 722396, 1448, 335, 0, 749568, 4096, 0.104445, 0.012532999999999999, 67564, 12387, 0, 0, 136, 17, 4, 0.063243, 0.018836, 61732, 18840, 0, 0, 1328, 294, 27
libpthread-stubs, 253481, 0.04, 10, 1, 0, 0, 504234, 117115, 182, 76, 0, 126976, 4096, 0.100226, 0.019274, 62896, 8626, 0, 0, 120, 6, 44, 0.006137, 0.001088, 57200, 949, 0, 0, 128, 13, 2
eudev, 307591, 0.14, 11, 1, 6, 2, 2181832, 748064, 1510, 342, 0, 778240, 4096, 0.11483099999999999, 0.015837999999999998, 63536, 12404, 0, 0, 144, 17, 10, 0.06934, 0.024273, 57468, 18761, 0, 0, 1376, 287, 38
libxml2, 249096, 0.10, 10, 2, 3, 1, 738575, 147459, 684, 147, 0, 172032, 4096, 0.104748, 0.029928, 62692, 11130, 0, 0, 136, 13, 36, 0.032848999999999996, 0.014605, 57104, 9449, 0, 0, 200, 145, 77
iproute2, 669908, 0.06, 7, 1, 2, 0, 770478, 130663, 696, 130, 0, 159744, 4096, 0.074733, 0.016607, 66928, 11833, 0, 0, 128, 13, 3, 0.026129, 0.007208, 61296, 9381, 0, 0, 184, 140, 6
libpsl, 497647, 0.04, 6, 1, 0, 0, 1037451, 638135, 343, 214, 0, 647168, 4096, 0.061731999999999995, 0.019291, 64812, 11844, 0, 0, 120, 8, 5, 0.003052, 0.006867, 58800, 971, 0, 0, 1144, 13, 2
rpm, 458401, 2.48, 13, 4, 53, 10, 6297235, 1244352, 9529, 1037, 0, 1224704, 4096, 0.138157, 0.04989, 64424, 20193, 0, 0, 176, 66, 59, 0.536589, 0.10324799999999999, 58440, 145071, 8, 0, 2216, 2350, 1080
xinput-calibrator, 681263, 0.13, 13, 1, 6, 0, 1616632, 661530, 1459, 309, 0, 688128, 4096, 0.134967, 0.01687, 67268, 12410, 0, 0, 136, 17, 5, 0.068613, 0.007819999999999999, 61476, 18880, 0, 0, 1208, 293, 17
